,x1,x2,predict_y
0,80.0,100.0,-1.4163966113938713
1,50.0,100.0,-2.3980303603635775
2,120.00000000000001,100.0,3.7234851155012123
3,80.0,750.0,2.22547761990311
4,80.0,2250.0,2.3218231734335077
5,65.0,100.0,-1.9946491205915144
6,100.0,100.0,0.4242631524754401
7,77.5,425.0,0.08146962703241378
8,50.0,350.0,-1.092437785851871
9,57.5,100.0,-2.198154126529877
10,62.5,300.0,-1.00961138976748
11,72.5,100.0,-1.7522201425143198
12,50.0,225.0,-1.7413106337716613
13,52.5,100.0,-2.330464812662443
14,55.0,100.0,-2.2640310917289277
15,50.0,125.0,-2.2667605453465853
16,52.5,125.0,-2.199028408614355
17,60.0,100.0,-2.1320378275597207
18,50.0,150.0,-2.1353686639355374
19,55.0,125.0,-2.1327660642546427
